texto,categoria
consulta com proteína 75.50,Saúde
COMPREI REFORMA,Casa
"troca de óleo R$100,80",Transporte
HOSPITAL,Saúde
comprei reforma,Casa
gasto com serviço 3000 reais,Outros
"par de salto R$ 55,30",Vestuário
"rancho R$ 37,20",Alimentação
Gol pro trabalho,Transporte
passagem de avião,Transporte
REVISÃO DO CARRO,Transporte
Unidas pra casa,Transporte
renovação Disney Plus,Assinaturas
assinei Udemy,Educação
remédio da psicólogo,Saúde
material de escritório,Outros
Cobrou microsoft 365 120.25,Assinaturas
"compras da semana 42,70",Alimentação
"loja de roupa 22,99",Vestuário
Matrícula,Educação
conserto do tarifa 25.60,Outros
workshop,Educação
"ingresso do videogame 50,30",Lazer
comprei fone de ouvido,Outros
comprei lápis,Educação
EXAME DE SANGUE,Saúde
VLT de volta,Transporte
COMPREI ADVOGADO,Outros
almocei no shopping,Alimentação
manutenção,Casa
paguei a exame de sangue,Saúde
"RANCHO R$24,75",Alimentação
paguei cartorio,Outros
"boleto de reforma R$ 75,20",Casa
boleto de sky,Casa
fim de semana,Lazer
comprei apostila,Educação
Unidas pra casa R$ 200,Transporte
paguei remédio pet 60 reais,Outros
paguei transferência,Outros
assinatura onedrive,Assinaturas
"assinei lápis R$ 110,20",Educação
"Plano youtube premium r$ 130,90",Assinaturas
empréstimo do mês 130.30,Outros
paguei condomínio,Casa
paguei celular,Outros
supermercado 15 reais,Alimentação
estacionei 500,Transporte
"mensalidade creme R$ 24,20",Saúde
fui na raio-x 139.10,Saúde
boleto de guarda-roupa R$300,Casa
JANTEI FORA,Alimentação
"anel na h&m r$130,75",Vestuário
"comprei análises clínicas R$35,20",Saúde
"assinei Xbox 75,75",Lazer
Cobrou internet,Assinaturas
compras de roupa 1500 reais,Vestuário
receita médica,Saúde
"boleto de gás de cozinha R$ 40,00",Casa
"manutenção da micro-ondas R$ 42,10",Casa
roupas,Vestuário
passeio,Lazer
"rancho R$ 19,70",Alimentação
peça de teatro,Lazer
Dividi conta do hortifruti,Alimentação
mensalidade da ENEM 500 reais,Educação
passeio,Lazer
COMPREI FERRAMENTAS,Casa
assinei futebol,Lazer
Starbucks,Alimentação
"Consulta com fisioterapeuta r$89,90",Saúde
"renovação nordvpn 17,10",Assinaturas
Despesa com iptu,Outros
Zoológico,Lazer
manutenção do carro de volta,Transporte
"jantei fora R$ 110,40",Alimentação
Yellow,Transporte
pedi cappuccino no delivery,Alimentação
"estacionei R$150,80",Transporte
comprei reforma,Casa
ingresso do hospedagem,Lazer
"plano anual ExpressVPN 149,25",Assinaturas
assinatura do McAfee,Assinaturas
"MATRÍCULA NO CURSO 15,00",Educação
Comprei registro,Outros
"POUSADA COM AMIGOS R$ 65,70",Lazer
PAGUEI MATERIAL DE LIMPEZA,Casa
"ingresso pro passeio R$90,75",Lazer
boleto do tinta,Casa
MANUTENÇÃO DA GUARDA-ROUPA,Casa
"comprei e-book R$42,30",Lazer
passagem de ônibus R$ 5,Transporte
ASSINEI JOGO,Lazer
"Almocei no mercado r$89,99",Alimentação
paguei escola,Educação
manutenção da taxa de condomínio,Casa
"manutenção R$ 24,40",Casa
"Conta do pizza r$ 29,40",Alimentação
comprei dízimo,Outros
"compras de roupa R$ 15,90",Vestuário
paguei escola 75.90,Educação
bar no supermercado,Alimentação
Amazon prime,Lazer
peguei aluguel de carro,Transporte
curso de certificado 70,Educação
"matrícula no curso R$59,70",Educação
"Remédio da raio-x r$ 37,30",Saúde
COMBUSTÍVEL,Transporte
"transferência para natal 129,70",Outros
combustível,Transporte
exame no laboratório 19.50,Saúde
"matrícula 70,75",Educação
remédio da academia,Saúde
"micro-ondas do mês R$ 25,80",Casa
ingresso do câmera 40,Lazer
ETANOL DE VOLTA,Transporte
Mensalidade tim,Assinaturas
"mensalidade limpeza dental R$ 14,40",Saúde
"exame no laboratório R$ 35,99",Saúde
"anuidade Tidal R$ 89,80",Assinaturas
conta de tapete 12.20,Casa
"Móveis mensal r$14,99",Casa
Manutenção r$120,Casa
"roupas R$139,60",Vestuário
lanche,Alimentação
ALMOÇO,Alimentação
diversão 32.75,Lazer
"FONE DE OUVIDO IMPREVISTO 70,10",Outros
Amazon Prime,Lazer
"compras de roupa 9,40",Vestuário
tinta para a casa 19.70,Casa
PASSEIO,Lazer
boleto do banda larga,Casa
"CONTA DE LUZ R$ 119,75",Casa
estacionei,Transporte
"comprei buteco r$79,10",Alimentação
"PEGUEI ONIBUS 60,00",Transporte
roupas,Vestuário
paguei imposto de renda,Outros
"reforma r$10,70",Casa
"MENSALIDADE DA DENTISTA R$ 12,75",Saúde
conserto,Casa
brinco,Vestuário
café da manhã 80.40,Alimentação
Comprei camiseta 60.99,Vestuário
Jantei fora,Alimentação
clínica,Saúde
RESTAURANTE PRA HOJE,Alimentação
renovação Canva Pro,Assinaturas
"comprei x-salada 65,75",Alimentação
cobrou headspace 89.70,Assinaturas
Mensalidade photoshop,Assinaturas
comprei protetor solar,Saúde
assinei universidade,Educação
Conta de guarda-roupa,Casa
"exame no laboratório 39,80",Saúde
mensalidade webinar 10.99,Educação
anuidade cartão,Outros
"renovei Kaspersky R$ 139,80",Assinaturas
faxineira,Casa
CABO PARA FORMATURA,Outros
loja de roupa,Vestuário
Comprei gym 5 reais,Saúde
fui na proteína,Saúde
Cobrou youtube premium r$500,Assinaturas
pedágio 69.90,Transporte
câmera,Lazer
despesa com carregador,Outros
mensalidade da mestrado,Educação
ExpressVPN,Assinaturas
comprei H&M na Riachuelo 140.75,Vestuário
"mensalidade da certificado r$149,70",Educação
comprei presente de aniversário 18 reais,Outros
delivery no shopping 60.25,Alimentação
Mensalidade da emergência,Saúde
Comprei riachuelo,Vestuário
conta de desentupimento,Casa
almocei no food truck,Alimentação
ASSINEI APOSTILA,Educação
aula de curso presencial R$ 800,Educação
paguei reforço escolar,Educação
"nike r$ 80,80",Vestuário
Paguei a óculos,Saúde
fui ao pousada,Lazer
fui ao pousada,Lazer
lenço na outlet,Vestuário
"Conserto r$37,75",Casa
"comprei pochete na outlet 50,20",Vestuário
workshop 3000 reais,Educação
comprei laboratório,Saúde
"delivery starbucks r$120,40",Alimentação
ingresso pro turismo,Lazer
Amazon Prime Video,Assinaturas
"ROUPA NOVA R$ 50,00",Vestuário
iogurte no praça de alimentação,Alimentação
"mercado R$30,99",Alimentação
saída,Lazer
aluguel de carro 30.20,Transporte
conta do pastelaria,Alimentação
fui na loção 9.50,Saúde
"hambúrguer no feira R$ 50,75",Alimentação
CARIDADE IMPREVISTO,Outros
honorario do mes,Outros
"comprei jaqueta na outlet 50,25",Vestuário
assinatura do apple music,Assinaturas
PRESENTE PRA FORMATURA,Outros
"assinei colégio 30,90",Educação
"mensalidade da mochila 89,80",Educação
roupas,Vestuário
comprei MBA,Educação
"ingresso do jogo R$39,90",Lazer
peguei táxi 69.70,Transporte
seguro do carro pro trabalho,Transporte
"diversão 42,70",Lazer
"ROUPAS 95,30",Vestuário
MATERIAL DE CONSTRUÇÃO,Casa
assinatura do Tidal,Assinaturas
MANUTENÇÃO DO CARRO DE VOLTA,Transporte
"esparadrapo da semana R$99,99",Saúde
estacionei,Transporte
matrícula,Educação
crossfit,Saúde
BlaBlaCar de volta,Transporte
cobrou Apple Music,Assinaturas
"conta do ovo R$30,40",Alimentação
"fraldas mensal R$ 85,40",Casa
pet shop para chá de bebê,Outros
"manutençao da decoraçao R$ 120,80",Casa
"GASOLINA 37,99",Transporte
Boliche,Lazer
"Viagem para praia r$29,10",Lazer
"conta do pizza R$70,60",Alimentação
assinei parque de diversões,Lazer
comprei cama,Casa
"paguei taxa bancária 149,10",Outros
extração,Saúde
renovação photoshop,Assinaturas
medico da semana 45.70,Saúde
hospedagem,Lazer
RANCHO 5 REAIS,Alimentação
dividi conta do pizza,Alimentação
MENSALIDADE MENSALIDADE PLANO 18 REAIS,Saúde
"plano mensal Vivo 15,30",Assinaturas
padaria pra hoje,Alimentação
remedio da creatina 89.40,Saúde
entretenimento 119.50,Lazer
aula de escola de idiomas 89.80,Educação
COMPREI NIKE NA C&A,Vestuário
lingerie,Vestuário
CORRIDA DE 99 R$120,Transporte
"combustível R$120,50",Transporte
telhado mensal,Casa
comprei presente,Outros
"MENSALIDADE MÉDICO R$9,40",Saúde
"Estacionamento 27,90",Transporte
comprei jardineiro,Casa
delivery bolo 14.50,Alimentação
"revisão do carro r$ 20,00",Transporte
gasto com saque,Outros
loja de roupa R$3000,Vestuário
"entretenimento r$60,75",Lazer
mensalidade Calm,Assinaturas
MASSA NO BOTECO,Alimentação
roupa de banho,Vestuário
comprei padaria,Alimentação
par de roupa 250 reais,Vestuário
cachaça pra hoje,Alimentação
material de construção,Casa
Assinei francês,Educação
Paguei taxa bancária,Outros
"conserto do registro R$130,40",Outros
plano anual NordVPN,Assinaturas
"roupa novo 49,50",Vestuário
"mensalidade Claro 85,80",Assinaturas
hospedagem,Lazer
comprei telefone,Casa
"matrícula no curso 24,60",Educação
camisa na Zara,Vestuário
Cobrou telecine,Assinaturas
"Fui ao ingresso r$ 119,25",Lazer
"Pedágio r$17,10",Transporte
remédio da proteína 18,Saúde
"boleto do Wi-Fi 90,40",Casa
exame no laboratório,Saúde
mensalidade banda larga,Assinaturas
par de shorts 900 reais,Vestuário
SOBRETUDO NA OUTLET,Vestuário
PEDREIRO MENSAL,Casa
hospedagem,Lazer
comprei cartório,Outros
comprei Wi-Fi,Casa
"mensalidade da ressonância R$32,70",Saúde
"comprei bota R$25,20",Vestuário
rodovia pra casa,Transporte
comprei suplemento,Saúde
"TV a cabo do mes R$14,25",Casa
Microsoft 365 35.40,Assinaturas
parque com amigos,Lazer
"matrícula no curso R$ 22,40",Educação
café da manhã,Alimentação
"Loja de roupa r$119,99",Vestuário
curso de livro didático 35,Educação
loja de roupa 24.25,Vestuário
passagem aérea de volta R$500,Transporte
entretenimento 2000 reais,Lazer
comprei escola,Educação
"delivery conveniência R$ 17,90",Alimentação
passeio 8,Lazer
plano mensal nintendo online,Assinaturas
PAGUEI VETERINÁRIO,Outros
curso de webinar 500,Educação
Rappi pra hoje,Alimentação
fui na medicamento 139.60,Saúde
COMPREI SANDÁLIA,Vestuário
"fim de semana 60,30",Lazer
"certificação 200,00",Educação
almocei no feira,Alimentação
cobrou Amazon Prime Video,Assinaturas
"almocei no shopping 20,99",Alimentação
renovação Nintendo Online,Assinaturas
AULA DE ESPECIALIZAÇÃO,Educação
assinatura do Google One R$ 250,Assinaturas
matrícula no curso R$180,Educação
assinei Wizard,Educação
fim de semana,Lazer
"cobrou mubi r$35,60",Assinaturas
"BOLSA NA OUTLET R$ 75,30",Vestuário
Mensalidade da consulta médica r$ 70,Saúde
comprei ferramentas,Casa
"INGRESSO DO FUTEBOL R$ 37,50",Lazer
"IPVA R$39,20",Transporte
estacionamento de volta,Transporte
Doação para natal,Outros
"Plano mensal apple music r$19,20",Assinaturas
"corrida 150,90",Transporte
exame no laboratorio 65.80,Saúde
renovação Kaspersky,Assinaturas
"workshop R$8,50",Educação
paguei manutenção R$ 2000,Outros
PLANO ANUAL PLANO DE CELULAR 8.40,Assinaturas
"cobrou Figma R$14,90",Assinaturas
festa,Lazer
emprestei dinheiro para casamento,Outros
"Conserto 139,60",Casa
diversão,Lazer
aula de livro didático r$70,Educação
mensalidade ExpressVPN,Assinaturas
seguro da casa do mes 10.10,Casa
Câmera,Lazer
assinatura do Notion,Assinaturas
abasteci 45.70,Transporte
"conta de luz R$ 17,90",Casa
"HOTEL R$ 50,50",Lazer
pedagio,Transporte
comprei brinco,Vestuário
"cama 129,70",Casa
Peguei trem,Transporte
"paguei material para curso 130,10",Educação
Assinatura do adobe creative cloud,Assinaturas
comprei quadro,Casa
rancho 19.20,Alimentação
"entretenimento 150,20",Lazer
paguei multa 17.99,Outros
hamburguer,Alimentação
receita médica,Saúde
assinatura do Adobe Creative Cloud,Assinaturas
compras de roupa 350 reais,Vestuário
Manutenção,Casa
ônibus interestadual de volta,Transporte
comprei Zara,Vestuário
"mensalidade cna 140,60",Educação
museu 110.10,Lazer
sutiã,Vestuário
consulta com laboratorio 50.80,Saúde
"cartão transporte pro trabalho 35,00",Transporte
emergência da semana R$ 150,Saúde
Comprei adidas,Vestuário
"consulta médica da semana R$47,70",Saúde
paguei eletrônico,Outros
exposição com amigos 19.90,Lazer
comprei teatro,Lazer
"certificação R$29,90",Educação
"Assinatura do internet 60,80",Assinaturas
fone de ouvido,Outros
comprei joia 35,Vestuário
Mensalidade da creme 75.70,Saúde
"ALMOCEI NO SUPERMERCADO 5,25",Alimentação
boleto de jardinagem,Casa
"Estacionei 22,50",Transporte
"estacionamento R$ 39,40",Transporte
COMPREI IOGURTE,Alimentação
"exame no laboratório 350,00",Saúde
Anel nova 9.75,Vestuário
"conserto do notebook 129,10",Outros
anuidade Tidal,Assinaturas
Rodovia,Transporte
ingresso do audiobook,Lazer
receita médica R$700,Saúde
Curso de inglês 180 reais,Educação
plano mensal Tidal 1500 reais,Assinaturas
CONSERTO DO IPHONE 60,Outros
"Paguei papel higiênico 59,50",Casa
plano notion 30,Assinaturas
conta de claro tv 5.25,Casa
cartão de transporte,Transporte
RENOVEI DUOLINGO PLUS,Assinaturas
comprei limpeza,Casa
COMPRAS DE ROUPA,Vestuário
"comprei multa R$140,80",Outros
abasteci o carro,Transporte
PRESENTE PRA CHÁ DE BEBÊ,Outros
Uber Black pra casa,Transporte
boleto de sofá 19.40,Casa
fim de semana,Lazer
comprei Xbox,Lazer
assinei karaokê,Lazer
computador,Outros
manutenção da gás de cozinha,Casa
"paguei camera R$ 69,90",Outros
"FOGÃO MENSAL 5,75",Casa
presente pra natal 70.30,Outros
Conserto do dízimo,Outros
PEGUEI MOTOFRETE,Transporte
supermercado R$ 1000,Alimentação
"Comprei tarifa r$ 39,25",Outros
comprei Riachuelo,Vestuário
matrícula no curso 10.60,Educação
plano mensal plano de internet 8 reais,Assinaturas
combustível pro trabalho,Transporte
comprei fraldas,Casa
conserto do IR 500 reais,Outros
ROUPA DE BANHO NA SHOPPING,Vestuário
"rancho R$ 27,50",Alimentação
etanol pro trabalho,Transporte
assinatura Tidal,Assinaturas
"boleto de mesa R$55,80",Casa
comprei smartphone,Outros
dentista,Saúde
Figma,Assinaturas
MENSALIDADE AMAZON PRIME,Assinaturas
"mercado 120,30",Alimentação
renovação Tidal,Assinaturas
compras da semana,Alimentação
tarifa do mês,Outros
game,Lazer
"abasteci R$ 149,70",Transporte
Paguei multa,Outros
"BlaBlaCar de volta R$ 139,75",Transporte
CONTA DO PADARIA R$ 300,Alimentação
ESTACIONAMENTO 80.25,Transporte
"emergência r$ 42,70",Saúde
material de faculdade 40 reais,Educação
Steam com a família,Lazer
"curso de Rocketseat 5,90",Educação
remédio da psicólogo 89.90,Saúde
assinei reforço escolar,Educação
comprei conserto,Outros
mensalidade Google One R$45,Assinaturas
viagem para outro estado 250,Lazer
Paguei limpeza,Casa
"fui na emergencia 25,10",Saúde
"compras da semana 10,00",Alimentação
COMPREI TAXA,Outros
jogo,Lazer
reforma 149.30,Casa
cobrou kaspersky,Assinaturas
"paguei botijão de gás 27,75",Casa
"corrida de estacionamento R$75,90",Transporte
"fui na consulta dentista R$9,99",Saúde
casaco nova,Vestuário
renovação Google Drive,Assinaturas
plano Tim 90.25,Assinaturas
"metrô da semana 119,70",Transporte
compras do mes,Alimentação
assinatura do Shein 37.70,Assinaturas
Feijão,Alimentação
"farmacia mensal R$ 59,20",Saúde
"Café da manhã r$79,10",Alimentação
"conta de pedreiro R$19,50",Casa
iCloud,Assinaturas
"feira do mês 47,99",Alimentação
Comprei honorário r$ 10,Outros
"celular imprevisto 27,40",Outros
agua 5.20,Alimentação
"CONTA DO LANCHONETE R$99,20",Alimentação
"par de cinto R$ 50,75",Vestuário
Renovação kaspersky,Assinaturas
"remédio da curativo 14,80",Saúde
padaria no lanchonete,Alimentação
terapeuta,Saúde
"aquário r$15,25",Lazer
"peguei etanol 5,00",Transporte
H&M na loja,Vestuário
RENOVAÇÃO DISNEY+,Assinaturas
compras do mês 139.10,Alimentação
paguei sofá,Casa
"aula de mensalidade da faculdade R$20,99",Educação
"pijama na H&M R$ 75,90",Vestuário
bike,Transporte
"mensalidade disney+ 15,00",Assinaturas
CNA,Educação
"Hospedagem r$ 10,00",Lazer
boleto de wi-fi,Casa
paguei anuidade,Outros
Fui ao karaokê,Lazer
comprei clínica,Saúde
comprei biscoito,Alimentação
comprei certificado,Educação
renovação Amazon Prime,Assinaturas
"churrasco R$40,60",Alimentação
comprei energia,Casa
Fui ao hbo max,Lazer
blablacar pra casa,Transporte
rancho R$ 10,Alimentação
"COBROU CLUBE DE ASSINATURA R$27,25",Assinaturas
"roupas R$37,60",Vestuário
Paguei a lente de contato,Saúde
"paguei certificaçao 29,90",Educação
Movida de volta,Transporte
paguei jardinagem,Casa
sushi,Alimentação
RENOVEI APPLE MUSIC,Assinaturas
certificação,Educação
viagem para outro estado,Lazer
"curso de mestrado R$24,25",Educação
"loja de roupa 140,40",Vestuário
RENOVAÇÃO AMAZON,Assinaturas
material de construção,Casa
Compras de roupa r$ 900,Vestuário
comprei eletrônico 90.90,Outros
comprei passeio 3000 reais,Lazer
paguei a pilates,Saúde
conserto,Casa
"ENEM 200,00",Educação
"fui ao e-book 45,30",Lazer
"paguei tapete 32,70",Casa
"conserto do imposto 75,90",Outros
pintura,Casa
assinatura do Adobe Creative Cloud,Assinaturas
"passeio 140,30",Lazer
"cinto nova R$15,40",Vestuário
calcinha novo,Vestuário
"conta de Wi-Fi R$ 55,40",Casa
par de colar,Vestuário
Corrida,Transporte
MATERIAL DE LIMPEZA,Casa
corrida 24.70,Transporte
Colar novo,Vestuário
"material de pós-graduação R$99,50",Educação
"rancho 22,80",Alimentação
CNA 12 reais,Educação
"Plano mensal nordvpn 400,00",Assinaturas
corrida de licenciamento,Transporte
compras do mês 12.75,Alimentação
comprei snack 400,Alimentação
OAB,Educação
assinei CRM,Educação
reforma R$ 120,Casa
"estacionamento 75,30",Transporte
"roupas 69,20",Vestuário
fim de semana,Lazer
gasolina,Transporte
"rancho R$85,40",Alimentação
compras do mês,Alimentação
assinatura do calm,Assinaturas
"Mensalidade wizard r$ 30,80",Educação
aula de mestrado 900 reais,Educação
assinei prova,Educação
"comprei joia R$ 119,60",Vestuário
"receita medica R$55,10",Saúde
fisioterapeuta mensal,Saúde
loja de roupa,Vestuário
"estacionei pro trabalho R$ 80,10",Transporte
Cobrou disney+,Assinaturas
paguei veterinário 150,Outros
paguei a psicólogo,Saúde
boleto de moveis,Casa
plano anual ExpressVPN,Assinaturas
paintball com a família,Lazer
estacionamento,Transporte
renovação antivírus,Assinaturas
combustivel,Transporte
mensalidade tutoria 70.60,Educação
camera para casamento,Outros
"Puma na outlet R$139,70",Vestuário
"CURSO DE WIZARD R$42,10",Educação
saia na h&m,Vestuário
fui ao passeio,Lazer
mensalidade Adobe Creative Cloud,Assinaturas
"paguei net r$100,99",Casa
cobrou YouTube Premium,Assinaturas
gasto com cabo 89.80,Outros
luz do mês 65.10,Casa
plano mensal Figma 10.90,Assinaturas
PAGUEI ALURA,Educação
estacionamento 119.75,Transporte
Curso presencial,Educação
carregador imprevisto r$600,Outros
"caridade do mês R$ 47,80",Outros
café da manhã,Alimentação
FOREVER 21 NOVO,Vestuário
comprei Deezer,Lazer
"compras de roupa R$130,30",Vestuário
telefone fixo 35,Casa
"COMBUSTÍVEL R$20,30",Transporte
polo nova 150.25,Vestuário
comprei sapato na shopping,Vestuário
francês,Educação
Combustível 75.50,Transporte
Comprei almoço,Alimentação
"workshop 55,20",Educação
desinfetante,Casa
uber da semana 37.25,Transporte
"PARQUE DE DIVERSÕES R$ 95,10",Lazer
"certificação R$65,70",Educação
mensalidade Wizard,Educação
aluguel de carro pra casa,Transporte
comprei antibiótico,Saúde
almocei no food truck,Alimentação
consulta,Saúde
Presente de aniversário 350,Outros
receita médica,Saúde
ingresso pro videogame R$ 10,Lazer
"PLANO EXPRESSVPN 42,30",Assinaturas
pedi conveniência no delivery,Alimentação
mestrado,Educação
FILME,Lazer
"cobrou ExpressVPN R$ 95,70",Assinaturas
botijao de gas,Casa
mensalidade steam,Assinaturas
Pedagio pra casa,Transporte
"fui na limpeza dental R$ 100,90",Saúde
cobrou Amazon,Assinaturas
feira do mes,Alimentação
paguei presente de natal,Outros
pulseira,Vestuário
comprei tablet,Outros
Suplemento,Saúde
shorts nova 79.90,Vestuário
"Bob's R$ 15,30",Alimentação
doação 50,Outros
boleto do aluguel 60.60,Casa
encanador,Casa
eletrônico imprevisto,Outros
"paguei material escolar r$12,80",Educação
FUI NA HOSPITAL,Saúde
"cama para a casa R$ 70,00",Casa
comprei cabo,Outros
"comprei camera 2000,00",Lazer
comprei limpeza r$ 18,Casa
Aula de curso online,Educação
material de construção 150.99,Casa
Samsung imprevisto,Outros
"par de jaqueta 22,25",Vestuário
Mensalidade webinar r$ 8,Educação
Botijão de gás mensal,Casa
pedi café no delivery R$ 180,Alimentação
supermercado R$ 3000,Alimentação
"material de curso online r$110,50",Educação
comprei CFO,Educação
matrícula no curso,Educação
parafuso,Casa
CORRIDA,Transporte
"conserto do tablet R$ 12,20",Outros
"Compras da semana 3000,00",Alimentação
cobrou Amazon Prime Video,Assinaturas
"corrida de moto R$17,99",Transporte
"MENSALIDADE DA FISIOTERAPIA 85,70",Saúde
"aula de udemy r$59,60",Educação
matricula,Educação
"psiquiatra mensal R$ 129,75",Saúde
GOOGLE ONE,Assinaturas
Comprei achocolatado,Alimentação
Movida pra casa,Transporte
par de roupa de dormir,Vestuário
Vivo,Assinaturas
tênis na Renner,Vestuário
fisioterapeuta,Saúde
gasto com manutenção,Outros
"loja de roupa 29,20",Vestuário
"comprei pipoca R$ 129,75",Alimentação
terapia,Saúde
Duolingo plus,Assinaturas
despesa com registro 50,Outros
PAGUEI PAPELARIA,Outros
oab,Educação
hospedagem,Lazer
"multa do mês R$12,70",Outros
"Despesa com câmera r$ 20,90",Outros
renovação Office 365,Assinaturas
paguei presente,Outros
"IPTU mensal R$60,10",Casa
